"Pathway" "ApprovedSymbol"
"regulation_mitotic" "RPS27A"
"regulation_mitotic" "ANAPC1"
"regulation_mitotic" "SKP1"
"regulation_mitotic" "SKP2"
"regulation_mitotic" "AURKA"
"regulation_mitotic" "BUB1B"
"regulation_mitotic" "UBA52"
"regulation_mitotic" "UBB"
"regulation_mitotic" "UBC"
"regulation_mitotic" "UBE2D1"
"regulation_mitotic" "UBE2E1"
"regulation_mitotic" "CUL1"
"regulation_mitotic" "CDC14A"
"regulation_mitotic" "CDC23"
"regulation_mitotic" "CDC16"
"regulation_mitotic" "CCNA2"
"regulation_mitotic" "CCNA1"
"regulation_mitotic" "CCNB1"
"regulation_mitotic" "BTRC"
"regulation_mitotic" "BUB3"
"regulation_mitotic" "AURKB"
"regulation_mitotic" "PTTG1"
"regulation_mitotic" "PSMF1"
"regulation_mitotic" "CDC2"
"regulation_mitotic" "PSMD6"
"regulation_mitotic" "CDC20"
"regulation_mitotic" "CDC27"
"s_phase" "CDK2"
"s_phase" "CDK4"
"s_phase" "PSME3"
"s_phase" "PSMD14"
"s_phase" "CDK7"
"s_phase" "CDKN1A"
"s_phase" "CDKN1B"
"s_phase" "POLD3"
"s_phase" "CKS1B"
"s_phase" "PSMB11"
"s_phase" "PSMA8"
"s_phase" "DNA2"
"s_phase" "FEN1"
"s_phase" "PSME4"
"s_phase" "ORC6L"
"s_phase" "ORC3L"
"s_phase" "POLA2"
"s_phase" "LIG1"
"s_phase" "MAX"
"s_phase" "MCM2"
"s_phase" "MCM3"
"s_phase" "MCM4"
"s_phase" "MCM5"
"s_phase" "MCM6"
"s_phase" "MCM7"
"s_phase" "MNAT1"
"s_phase" "MYC"
"s_phase" "ORC1L"
"s_phase" "ORC2L"
"s_phase" "ORC4L"
"s_phase" "ORC5L"
"s_phase" "PCNA"
"s_phase" "FZR1"
"s_phase" "GINS2"
"s_phase" "POLA1"
"s_phase" "POLD1"
"s_phase" "POLD2"
"s_phase" "POLE"
"s_phase" "POLE2"
"s_phase" "PRIM1"
"s_phase" "PRIM2"
"s_phase" "PSMA1"
"s_phase" "PSMA2"
"s_phase" "PSMA3"
"s_phase" "PSMA4"
"s_phase" "PSMA5"
"s_phase" "PSMA6"
"s_phase" "PSMA7"
"s_phase" "PSMB1"
"s_phase" "PSMB2"
"s_phase" "PSMB3"
"s_phase" "PSMB4"
"s_phase" "PSMB5"
"s_phase" "PSMB6"
"s_phase" "PSMB7"
"s_phase" "PSMB8"
"s_phase" "PSMB9"
"s_phase" "PSMB10"
"s_phase" "PSMC1"
"s_phase" "PSMC2"
"s_phase" "PSMC3"
"s_phase" "PSMC4"
"s_phase" "PSMC5"
"s_phase" "PSMC6"
"s_phase" "PSMD1"
"s_phase" "PSMD2"
"s_phase" "PSMD3"
"s_phase" "PSMD4"
"s_phase" "PSMD5"
"s_phase" "PSMD7"
"s_phase" "PSMD8"
"s_phase" "PSMD9"
"s_phase" "PSMD10"
"s_phase" "PSMD11"
"s_phase" "PSMD12"
"s_phase" "PSMD13"
"s_phase" "PSME1"
"s_phase" "PSME2"
"s_phase" "POLD4"
"s_phase" "RB1"
"s_phase" "CCND1"
"s_phase" "RFC1"
"s_phase" "RFC2"
"s_phase" "RFC3"
"s_phase" "RFC4"
"s_phase" "RFC5"
"s_phase" "RPA1"
"s_phase" "RPA2"
"s_phase" "RPA3"
"s_phase" "RPS27A"
"s_phase" "SKP1"
"s_phase" "SKP2"
"s_phase" "UBA52"
"s_phase" "UBB"
"s_phase" "UBC"
"s_phase" "WEE1"
"s_phase" "CDT1"
"s_phase" "CDC45L"
"s_phase" "GINS4"
"s_phase" "MCM8"
"s_phase" "CUL1"
"s_phase" "CCNA2"
"s_phase" "CCNA1"
"s_phase" "CCNE1"
"s_phase" "CCNH"
"s_phase" "CCNE2"
"s_phase" "PSMF1"
"s_phase" "GINS1"
"s_phase" "PSMD6"
"s_phase" "CDC6"
"s_phase" "CDC25A"
"s_phase" "CDC25B"
"apoptosis_hs" "BCL2L11"
"apoptosis_hs" "DYNLL2"
"apoptosis_hs" "E2F1"
"apoptosis_hs" "AKT1"
"apoptosis_hs" "BBC3"
"apoptosis_hs" "GZMB"
"apoptosis_hs" "APAF1"
"apoptosis_hs" "XIAP"
"apoptosis_hs" "NMT1"
"apoptosis_hs" "PMAIP1"
"apoptosis_hs" "CYCS"
"apoptosis_hs" "PPP3CC"
"apoptosis_hs" "PPP3R1"
"apoptosis_hs" "MAPK8"
"apoptosis_hs" "DIABLO"
"apoptosis_hs" "BAD"
"apoptosis_hs" "BAK1"
"apoptosis_hs" "BAX"
"apoptosis_hs" "BCL2"
"apoptosis_hs" "BCL2L1"
"apoptosis_hs" "BID"
"apoptosis_hs" "TFDP1"
"apoptosis_hs" "YWHAB"
"apoptosis_hs" "CASP3"
"apoptosis_hs" "CASP7"
"apoptosis_hs" "CASP8"
"apoptosis_hs" "CASP9"
"apoptosis_hs" "DYNLL1"
"apoptosis_hs" "BMF"
"apoptotic_signaling" "AKT3"
"apoptotic_signaling" "IRAK3"
"apoptotic_signaling" "CHUK"
"apoptotic_signaling" "CSF2RB"
"apoptotic_signaling" "DFFA"
"apoptotic_signaling" "DFFB"
"apoptotic_signaling" "ENDOG"
"apoptotic_signaling" "AKT1"
"apoptotic_signaling" "AKT2"
"apoptotic_signaling" "PIK3R5"
"apoptotic_signaling" "APAF1"
"apoptotic_signaling" "BIRC2"
"apoptotic_signaling" "BIRC3"
"apoptotic_signaling" "XIAP"
"apoptotic_signaling" "FAS"
"apoptotic_signaling" "IKBKB"
"apoptotic_signaling" "IL1A"
"apoptotic_signaling" "IL1B"
"apoptotic_signaling" "IL1R1"
"apoptotic_signaling" "IL1RAP"
"apoptotic_signaling" "FASLG"
"apoptotic_signaling" "IL3"
"apoptotic_signaling" "IL3RA"
"apoptotic_signaling" "IRAK1"
"apoptotic_signaling" "IRAK2"
"apoptotic_signaling" "MYD88"
"apoptotic_signaling" "ATM"
"apoptotic_signaling" "NFKB1"
"apoptotic_signaling" "NFKB2"
"apoptotic_signaling" "NFKBIA"
"apoptotic_signaling" "NGF"
"apoptotic_signaling" "NTRK1"
"apoptotic_signaling" "IRAK4"
"apoptotic_signaling" "PIK3CA"
"apoptotic_signaling" "PIK3CB"
"apoptotic_signaling" "PIK3CD"
"apoptotic_signaling" "PIK3CG"
"apoptotic_signaling" "PIK3R1"
"apoptotic_signaling" "PIK3R2"
"apoptotic_signaling" "CYCS"
"apoptotic_signaling" "PPP3CA"
"apoptotic_signaling" "PPP3CB"
"apoptotic_signaling" "PPP3CC"
"apoptotic_signaling" "PPP3R1"
"apoptotic_signaling" "PPP3R2"
"apoptotic_signaling" "PRKACA"
"apoptotic_signaling" "PRKACB"
"apoptotic_signaling" "PRKACG"
"apoptotic_signaling" "PRKAR1A"
"apoptotic_signaling" "PRKAR1B"
"apoptotic_signaling" "PRKAR2A"
"apoptotic_signaling" "PRKAR2B"
"apoptotic_signaling" "BAD"
"apoptotic_signaling" "BAX"
"apoptotic_signaling" "BCL2"
"apoptotic_signaling" "RELA"
"apoptotic_signaling" "BCL2L1"
"apoptotic_signaling" "BID"
"apoptotic_signaling" "TNF"
"apoptotic_signaling" "TNFRSF1A"
"apoptotic_signaling" "TP53"
"apoptotic_signaling" "TRAF2"
"apoptotic_signaling" "CAPN1"
"apoptotic_signaling" "CAPN2"
"apoptotic_signaling" "CASP3"
"apoptotic_signaling" "CASP6"
"apoptotic_signaling" "CASP7"
"apoptotic_signaling" "CASP8"
"apoptotic_signaling" "CASP9"
"apoptotic_signaling" "CASP10"
"apoptotic_signaling" "PIK3R3"
"apoptotic_signaling" "IKBKG"
"apoptotic_signaling" "TRADD"
"apoptotic_signaling" "RIPK1"
"apoptotic_signaling" "TNFSF10"
"apoptotic_signaling" "FADD"
"apoptotic_signaling" "TNFRSF10D"
"apoptotic_signaling" "TNFRSF10C"
"apoptotic_signaling" "TNFRSF10B"
"apoptotic_signaling" "TNFRSF10A"
"apoptotic_signaling" "CFLAR"
"apoptotic_signaling" "MAP3K14"
"apoptotic_signaling" "AIFM1"
"caspase_cascade" "PSME3"
"caspase_cascade" "PSMD14"
"caspase_cascade" "PSMB11"
"caspase_cascade" "PSMA8"
"caspase_cascade" "DAPK1"
"caspase_cascade" "DAPK3"
"caspase_cascade" "DCC"
"caspase_cascade" "UNC5B"
"caspase_cascade" "PSME4"
"caspase_cascade" "DAPK2"
"caspase_cascade" "APPL1"
"caspase_cascade" "PAK2"
"caspase_cascade" "PSMA1"
"caspase_cascade" "PSMA2"
"caspase_cascade" "PSMA3"
"caspase_cascade" "PSMA4"
"caspase_cascade" "PSMA5"
"caspase_cascade" "PSMA6"
"caspase_cascade" "PSMA7"
"caspase_cascade" "PSMB1"
"caspase_cascade" "PSMB2"
"caspase_cascade" "PSMB3"
"caspase_cascade" "PSMB4"
"caspase_cascade" "PSMB5"
"caspase_cascade" "PSMB6"
"caspase_cascade" "PSMB7"
"caspase_cascade" "PSMB8"
"caspase_cascade" "PSMB9"
"caspase_cascade" "PSMB10"
"caspase_cascade" "PSMC1"
"caspase_cascade" "PSMC2"
"caspase_cascade" "PSMC3"
"caspase_cascade" "PSMC4"
"caspase_cascade" "PSMC5"
"caspase_cascade" "PSMC6"
"caspase_cascade" "PSMD1"
"caspase_cascade" "PSMD2"
"caspase_cascade" "PSMD3"
"caspase_cascade" "PSMD4"
"caspase_cascade" "PSMD5"
"caspase_cascade" "PSMD7"
"caspase_cascade" "PSMD8"
"caspase_cascade" "PSMD9"
"caspase_cascade" "PSMD10"
"caspase_cascade" "PSMD11"
"caspase_cascade" "PSMD12"
"caspase_cascade" "PSMD13"
"caspase_cascade" "PSME1"
"caspase_cascade" "PSME2"
"caspase_cascade" "RPS27A"
"caspase_cascade" "UBA52"
"caspase_cascade" "UBB"
"caspase_cascade" "UBC"
"caspase_cascade" "ARHGAP10"
"caspase_cascade" "CASP3"
"caspase_cascade" "CASP9"
"caspase_cascade" "UNC5A"
"caspase_cascade" "PSMF1"
"caspase_cascade" "MAGED1"
"caspase_cascade" "PSMD6"
"death_receptor" "PARP1"
"death_receptor" "DFFA"
"death_receptor" "DFFB"
"death_receptor" "GAS2"
"death_receptor" "LMNA"
"death_receptor" "ACTA1"
"death_receptor" "BID"
"death_receptor" "SPTAN1"
"death_receptor" "CASP3"
"death_receptor" "CASP6"
"death_receptor" "CASP7"
"death_receptor" "CASP8"
"death_receptor" "CASP10"
"death_receptor" "TNFRSF25"
"death_receptor" "RIPK1"
"death_receptor" "TNFSF12"
"death_receptor" "TNFSF10"
"death_receptor" "TNFRSF10B"
"death_receptor" "TNFRSF10A"
"death_receptor" "MAP3K14"
"extrinsic_path_apopt" "CDKN1A"
"extrinsic_path_apopt" "CDKN2A"
"extrinsic_path_apopt" "CHEK1"
"extrinsic_path_apopt" "CHEK2"
"extrinsic_path_apopt" "MAPK14"
"extrinsic_path_apopt" "HRAS"
"extrinsic_path_apopt" "ATM"
"extrinsic_path_apopt" "WNT16"
"extrinsic_path_apopt" "ATR"
"extrinsic_path_apopt" "PRKCD"
"extrinsic_path_apopt" "MAP2K1"
"extrinsic_path_apopt" "SRF"
"extrinsic_path_apopt" "TERF2"
"extrinsic_path_apopt" "TERT"
"extrinsic_path_apopt" "TP53"
"extrinsic_path_apopt" "CALR"
"granzyme_apopt" "CREBBP"
"granzyme_apopt" "DFFA"
"granzyme_apopt" "DFFB"
"granzyme_apopt" "GZMA"
"granzyme_apopt" "GZMB"
"granzyme_apopt" "HMGB2"
"granzyme_apopt" "APEX1"
"granzyme_apopt" "NME1"
"granzyme_apopt" "PRF1"
"granzyme_apopt" "SET"
"granzyme_apopt" "ANP32A"
"induction_apoptosis" "CFL2"
"induction_apoptosis" "PARP1"
"induction_apoptosis" "DFFA"
"induction_apoptosis" "DFFB"
"induction_apoptosis" "GAS2"
"induction_apoptosis" "GSN"
"induction_apoptosis" "GZMB"
"induction_apoptosis" "APAF1"
"induction_apoptosis" "BIRC2"
"induction_apoptosis" "BIRC3"
"induction_apoptosis" "XIAP"
"induction_apoptosis" "APP"
"induction_apoptosis" "KRT18"
"induction_apoptosis" "ARHGDIB"
"induction_apoptosis" "LIMK1"
"induction_apoptosis" "LMNA"
"induction_apoptosis" "LMNB1"
"induction_apoptosis" "MAP3K1"
"induction_apoptosis" "NUMA1"
"induction_apoptosis" "CYCS"
"induction_apoptosis" "LRDD"
"induction_apoptosis" "PRF1"
"induction_apoptosis" "DIABLO"
"induction_apoptosis" "PTK2"
"induction_apoptosis" "ACTA1"
"induction_apoptosis" "BAX"
"induction_apoptosis" "BCL2"
"induction_apoptosis" "SATB1"
"induction_apoptosis" "BID"
"induction_apoptosis" "SPTAN1"
"induction_apoptosis" "SREBF1"
"induction_apoptosis" "TFAP2A"
"induction_apoptosis" "TNF"
"induction_apoptosis" "TNFRSF1A"
"induction_apoptosis" "TOP1"
"induction_apoptosis" "TRAF2"
"induction_apoptosis" "VIM"
"induction_apoptosis" "CASP1"
"induction_apoptosis" "CASP2"
"induction_apoptosis" "CASP3"
"induction_apoptosis" "CASP4"
"induction_apoptosis" "CASP6"
"induction_apoptosis" "CASP7"
"induction_apoptosis" "CASP8"
"induction_apoptosis" "CASP9"
"induction_apoptosis" "CASP10"
"induction_apoptosis" "LMNB2"
"induction_apoptosis" "MADD"
"induction_apoptosis" "TRADD"
"induction_apoptosis" "RIPK1"
"induction_apoptosis" "CRADD"
"induction_apoptosis" "SLK"
"intrinsic_path" "DNM1L"
"intrinsic_path" "BCAP31"
"intrinsic_path" "ADD1"
"intrinsic_path" "CTNNB1"
"intrinsic_path" "DFFA"
"intrinsic_path" "DFFB"
"intrinsic_path" "DSG1"
"intrinsic_path" "DSG2"
"intrinsic_path" "DSG3"
"intrinsic_path" "DSP"
"intrinsic_path" "ACIN1"
"intrinsic_path" "FNTA"
"intrinsic_path" "GAS2"
"intrinsic_path" "DBNL"
"intrinsic_path" "GSN"
"intrinsic_path" "H1F0"
"intrinsic_path" "HIST1H1C"
"intrinsic_path" "HIST1H1D"
"intrinsic_path" "HIST1H1E"
"intrinsic_path" "HIST1H1B"
"intrinsic_path" "HIST1H1A"
"intrinsic_path" "HMGB1"
"intrinsic_path" "HMGB2"
"intrinsic_path" "APC"
"intrinsic_path" "BIRC2"
"intrinsic_path" "KPNA1"
"intrinsic_path" "KPNB1"
"intrinsic_path" "LMNA"
"intrinsic_path" "LMNB1"
"intrinsic_path" "MAPT"
"intrinsic_path" "OCLN"
"intrinsic_path" "PAK2"
"intrinsic_path" "PKP1"
"intrinsic_path" "PLEC1"
"intrinsic_path" "PRKCD"
"intrinsic_path" "PRKCQ"
"intrinsic_path" "PTK2"
"intrinsic_path" "ROCK1"
"intrinsic_path" "SATB1"
"intrinsic_path" "CLSPN"
"intrinsic_path" "BMX"
"intrinsic_path" "SPTAN1"
"intrinsic_path" "TJP1"
"intrinsic_path" "VIM"
"intrinsic_path" "CASP3"
"intrinsic_path" "CASP6"
"intrinsic_path" "CASP7"
"intrinsic_path" "CASP8"
"intrinsic_path" "STK24"
"intrinsic_path" "TJP2"
"intrinsic_path" "CDH1"
"regulation_apoptosis" "FAS"
"regulation_apoptosis" "FASLG"
"regulation_apoptosis" "TNF"
"regulation_apoptosis" "TNFRSF1A"
"regulation_apoptosis" "TRAF2"
"regulation_apoptosis" "CASP8"
"regulation_apoptosis" "CASP10"
"regulation_apoptosis" "TRADD"
"regulation_apoptosis" "RIPK1"
"regulation_apoptosis" "TNFSF10"
"regulation_apoptosis" "FADD"
"regulation_apoptosis" "TNFRSF10B"
"regulation_apoptosis" "CFLAR"
"tnf_receptor" "AKT1"
"tnf_receptor" "ATM"
"tnf_receptor" "CYCS"
"tnf_receptor" "BAD"
"tnf_receptor" "BAX"
"tnf_receptor" "BCL2"
"tnf_receptor" "BCL2L1"
"tnf_receptor" "BID"
"tnf_receptor" "TP53"
"tnf_receptor" "CASP3"
"tnf_receptor" "CASP6"
"tnf_receptor" "CASP7"
"tnfr1_signaling" "GNB2L1"
"tnfr1_signaling" "TAB1"
"tnfr1_signaling" "MAP4K5"
"tnfr1_signaling" "RFFL"
"tnfr1_signaling" "CYLD"
"tnfr1_signaling" "NRK"
"tnfr1_signaling" "TNIK"
"tnfr1_signaling" "MAP3K7IP2"
"tnfr1_signaling" "BIRC2"
"tnfr1_signaling" "BIRC3"
"tnfr1_signaling" "MAP3K1"
"tnfr1_signaling" "MAP3K3"
"tnfr1_signaling" "MAP3K5"
"tnfr1_signaling" "PRKCI"
"tnfr1_signaling" "PRKCZ"
"tnfr1_signaling" "MAP2K3"
"tnfr1_signaling" "MAP2K7"
"tnfr1_signaling" "MAP4K2"
"tnfr1_signaling" "SMPD1"
"tnfr1_signaling" "SMPD2"
"tnfr1_signaling" "STAT1"
"tnfr1_signaling" "ADAM17"
"tnfr1_signaling" "MAP3K7"
"tnfr1_signaling" "TNF"
"tnfr1_signaling" "TNFAIP3"
"tnfr1_signaling" "TNFRSF1A"
"tnfr1_signaling" "TNFRSF1B"
"tnfr1_signaling" "TRAF1"
"tnfr1_signaling" "TRAF2"
"tnfr1_signaling" "TXN"
"tnfr1_signaling" "CASP8"
"tnfr1_signaling" "NSMAF"
"tnfr1_signaling" "MAP4K3"
"tnfr1_signaling" "MADD"
"tnfr1_signaling" "CAV1"
"tnfr1_signaling" "TRADD"
"tnfr1_signaling" "RIPK1"
"tnfr1_signaling" "FADD"
"tnfr1_signaling" "SQSTM1"
"tnfr1_signaling" "BAG4"
"tnfr2_signaling" "FAS"
"tnfr2_signaling" "FASLG"
"tnfr2_signaling" "TNF"
"tnfr2_signaling" "TNFRSF1A"
"tnfr2_signaling" "TRAF2"
"tnfr2_signaling" "CASP8"
"tnfr2_signaling" "CASP10"
"tnfr2_signaling" "TRADD"
"tnfr2_signaling" "RIPK1"
"tnfr2_signaling" "TNFSF10"
"tnfr2_signaling" "FADD"
"tnfr2_signaling" "TNFRSF10B"
"tnfr2_signaling" "CFLAR"
